,Unnamed: 0,URL,address,signal
33,34,https://www.tripadvisor.com/Hotel_Review-g60745-d17581985-Reviews-The_Whitney_Hotel_Boston-Boston_Massachusetts.html,"170 Charles St, Boston, MA 02114-3253",finish
34,35,https://www.tripadvisor.com/Hotel_Review-g60745-d114134-Reviews-Lenox_Hotel-Boston_Massachusetts.html,"61 Exeter Street at Boylston, Boston, MA 02116-3505",finish
35,36,https://www.tripadvisor.com/Hotel_Review-g60745-d77638-Reviews-The_Inn_At_Longwood_Medical-Boston_Massachusetts.html,"342 Longwood Ave, Boston, MA 02115-5745",finish
36,37,https://www.tripadvisor.com/Hotel_Review-g60745-d89585-Reviews-Four_Seasons_Hotel_Boston-Boston_Massachusetts.html,"200 Boylston St, Boston, MA 02116-3916",finish
37,39,https://www.tripadvisor.com/Hotel_Review-g60745-d321151-Reviews-Loews_Boston_Hotel-Boston_Massachusetts.html,"154 Berkeley Street, Boston, MA 02116-5107",finish
38,40,https://www.tripadvisor.com/Hotel_Review-g60745-d13403186-Reviews-Courtyard_Boston_Downtown_North_Station-Boston_Massachusetts.html,"107 Beverly St, Boston, MA 02114-2102",finish
39,41,https://www.tripadvisor.com/Hotel_Review-g60745-d94337-Reviews-XV_Beacon-Boston_Massachusetts.html,"15 Beacon St, Boston, MA 02108-2902",finish
40,42,https://www.tripadvisor.com/Hotel_Review-g60745-d8142646-Reviews-Hilton_Garden_Inn_Boston_Logan_Airport-Boston_Massachusetts.html,"100 Boardman St, Boston, MA 02128-2657",finish
41,43,https://www.tripadvisor.com/Hotel_Review-g60745-d94371-Reviews-The_Colonnade_Hotel-Boston_Massachusetts.html,"120 Huntington Avenue Back Bay, Boston, MA 02116-5730",finish
42,44,https://www.tripadvisor.com/Hotel_Review-g60745-d8112658-Reviews-The_Envoy_Hotel_Autograph_Collection-Boston_Massachusetts.html,"70 Sleeper St, Boston, MA 02210-1226",finish
43,45,https://www.tripadvisor.com/Hotel_Review-g60745-d268207-Reviews-Residence_Inn_Boston_Harbor_On_Tudor_Wharf-Boston_Massachusetts.html,"34 Charles River Ave # 44, Boston, MA 02129-2005",finish
