,URL
50,https://www.tripadvisor.com/Hotel_Review-g60745-d89600-Reviews-Revere_Hotel_Boston_Common-Boston_Massachusetts.html
51,https://www.tripadvisor.com/Hotel_Review-g60745-d8145467-Reviews-Element_Boston_Seaport_District-Boston_Massachusetts.html
52,https://www.tripadvisor.com/Hotel_Review-g60745-d111417-Reviews-Boston_Marriott_Long_Wharf-Boston_Massachusetts.html
53,https://www.tripadvisor.com/Hotel_Review-g60745-d111422-Reviews-DoubleTree_Suites_by_Hilton_Boston_Cambridge-Boston_Massachusetts.html
54,https://www.tripadvisor.com/Hotel_Review-g60745-d21005926-Reviews-Home2_Suites_by_Hilton_Boston_South_Bay-Boston_Massachusetts.html
55,https://www.tripadvisor.com/Hotel_Review-g60745-d17768161-Reviews-Moxy_Boston_Downtown-Boston_Massachusetts.html
57,https://www.tripadvisor.com/Hotel_Review-g60745-d217550-Reviews-DoubleTree_by_Hilton_Hotel_Boston_Downtown-Boston_Massachusetts.html
58,https://www.tripadvisor.com/Hotel_Review-g60745-d320038-Reviews-Hampton_Inn_Suites_Boston_Crosstown_Center-Boston_Massachusetts.html
59,https://www.tripadvisor.com/Hotel_Review-g60745-d8145466-Reviews-Aloft_Boston_Seaport_District-Boston_Massachusetts.html
60,https://www.tripadvisor.com/Hotel_Review-g60745-d217546-Reviews-Wyndham_Boston_Beacon_Hill-Boston_Massachusetts.html
61,https://www.tripadvisor.com/Hotel_Review-g60745-d13351021-Reviews-AC_Hotel_by_Marriott_Boston_Cleveland_Circle-Boston_Massachusetts.html
62,https://www.tripadvisor.com/Hotel_Review-g60745-d15618152-Reviews-Cambria_Hotel_Boston_Downtown-Boston_Massachusetts.html
63,https://www.tripadvisor.com/Hotel_Review-g60745-d89592-Reviews-Found_Hotel_Boston_Common-Boston_Massachusetts.html
65,https://www.tripadvisor.com/Hotel_Review-g60745-d313573-Reviews-Courtyard_Boston_Copley_Square-Boston_Massachusetts.html
66,https://www.tripadvisor.com/Hotel_Review-g60745-d94344-Reviews-Marriott_Vacation_Club_Pulse_at_Custom_House_Boston-Boston_Massachusetts.html
67,https://www.tripadvisor.com/Hotel_Review-g60745-d1159285-Reviews-The_Inn_At_St_Botolph-Boston_Massachusetts.html
68,https://www.tripadvisor.com/Hotel_Review-g60745-d499916-Reviews-The_Boxer_Boston-Boston_Massachusetts.html
69,https://www.tripadvisor.com/Hotel_Review-g60745-d217000-Reviews-Studio_Allston_Hotel-Boston_Massachusetts.html
71,https://www.tripadvisor.com/Hotel_Review-g60745-d280420-Reviews-The_College_Club_of_Boston-Boston_Massachusetts.html
72,https://www.tripadvisor.com/Hotel_Review-g60745-d1138709-Reviews-Hotel_Indigo_Boston_Garden-Boston_Massachusetts.html
73,https://www.tripadvisor.com/Hotel_Review-g60745-d111434-Reviews-Newbury_Guest_House-Boston_Massachusetts.html
74,https://www.tripadvisor.com/Hotel_Review-g60745-d4232689-Reviews-Residence_Inn_Boston_Downtown_Seaport-Boston_Massachusetts.html
75,https://www.tripadvisor.com/Hotel_Review-g60745-d12882338-Reviews-AC_Hotel_by_Marriott_Boston_Downtown-Boston_Massachusetts.html
76,https://www.tripadvisor.com/Hotel_Review-g60745-d3169894-Reviews-HI_Boston_Hostel-Boston_Massachusetts.html
77,https://www.tripadvisor.com/Hotel_Review-g60745-d89619-Reviews-Courtyard_Boston_Downtown-Boston_Massachusetts.html
78,https://www.tripadvisor.com/Hotel_Review-g60745-d15528935-Reviews-Residence_Inn_Boston_Downtown_South_End-Boston_Massachusetts.html
79,https://www.tripadvisor.com/Hotel_Review-g60745-d89568-Reviews-Staypineapple_A_Delightful_Hotel_South_End_Boston-Boston_Massachusetts.html
80,https://www.tripadvisor.com/Hotel_Review-g60745-d3952875-Reviews-Bricco_Suites-Boston_Massachusetts.html
81,https://www.tripadvisor.com/Hotel_Review-g60745-d678412-Reviews-Renaissance_Boston_Waterfront_Hotel-Boston_Massachusetts.html
82,https://www.tripadvisor.com/Hotel_Review-g60745-d217148-Reviews-Ramada_by_Wyndham_Boston-Boston_Massachusetts.html
83,https://www.tripadvisor.com/Hotel_Review-g60745-d549445-Reviews-Hotel_140-Boston_Massachusetts.html
84,https://www.tripadvisor.com/Hotel_Review-g60745-d3225572-Reviews-EnVision_Hotel_Boston_Longwood-Boston_Massachusetts.html
85,https://www.tripadvisor.com/Hotel_Review-g60745-d89596-Reviews-Oasis_Guest_House-Boston_Massachusetts.html
86,https://www.tripadvisor.com/Hotel_Review-g60745-d120977-Reviews-Copley_House-Boston_Massachusetts.html
87,https://www.tripadvisor.com/Hotel_Review-g60745-d89602-Reviews-Sheraton_Boston_Hotel-Boston_Massachusetts.html
89,https://www.tripadvisor.com/Hotel_Review-g60745-d254294-Reviews-Constitution_Marina_s_Bed_Breakfast_Afloat-Boston_Massachusetts.html
90,https://www.tripadvisor.com/Hotel_Review-g60745-d94363-Reviews-Courtyard_by_Marriott_Boston_Logan_Airport-Boston_Massachusetts.html
91,https://www.tripadvisor.com/Hotel_Review-g60745-d222958-Reviews-Comfort_Inn_Boston-Boston_Massachusetts.html
92,https://www.tripadvisor.com/Hotel_Review-g60745-d13846823-Reviews-Boston_Luxury_Suites-Boston_Massachusetts.html
93,https://www.tripadvisor.com/Hotel_Review-g60745-d15334761-Reviews-Global_Luxury_Suites_On_Harrison_Ave-Boston_Massachusetts.html
94,https://www.tripadvisor.com/Hotel_Review-g60745-d16901250-Reviews-Four_Seasons_Hotel_One_Dalton_Street_Boston-Boston_Massachusetts.html
95,https://www.tripadvisor.com/Hotel_Review-g60745-d222955-Reviews-The_Ritz_Carlton_Boston-Boston_Massachusetts.html
97,https://www.tripadvisor.com/Hotel_Review-g60745-d1467037-Reviews-Green_Turtle_Floating_Bed_and_Breakfast-Boston_Massachusetts.html
98,https://www.tripadvisor.com/Hotel_Review-g60745-d225873-Reviews-Charlesmark_Hotel-Boston_Massachusetts.html
99,https://www.tripadvisor.com/Hotel_Review-g60745-d555224-Reviews-Courtyard_Boston_South_Boston-Boston_Massachusetts.html
100,https://www.tripadvisor.com/Hotel_Review-g60745-d77629-Reviews-Hotel_Boston-Boston_Massachusetts.html
101,https://www.tripadvisor.com/Hotel_Review-g60745-d89615-Reviews-The_Newbury_Boston-Boston_Massachusetts.html
103,https://www.tripadvisor.com/Hotel_Review-g60745-d21002823-Reviews-Homewood_Suites_by_Hilton_Boston_Seaport-Boston_Massachusetts.html
104,https://www.tripadvisor.com/Hotel_Review-g60745-d21002821-Reviews-Hampton_Inn_Boston_Seaport-Boston_Massachusetts.html
105,https://www.tripadvisor.com/Hotel_Review-g60745-d17627659-Reviews-Bedrooms_near_Fenway_Dowtown_Boston-Boston_Massachusetts.html
106,https://www.tripadvisor.com/Hotel_Review-g60745-d19957010-Reviews-Private_Rooms_Shared_Bath_In_Cozy_Homestay-Boston_Massachusetts.html
107,https://www.tripadvisor.com/Hotel_Review-g60745-d2079076-Reviews-14_Union_Park-Boston_Massachusetts.html
108,https://www.tripadvisor.com/Hotel_Review-g60745-d16670117-Reviews-The_Upton-Boston_Massachusetts.html
109,https://www.tripadvisor.com/Hotel_Review-g60745-d15012308-Reviews-Perkins_Inn-Boston_Massachusetts.html
110,https://www.tripadvisor.com/Hotel_Review-g60745-d1672194-Reviews-Back_Bay_Beacon-Boston_Massachusetts.html
111,https://www.tripadvisor.com/Hotel_Review-g60745-d13119752-Reviews-Stay_Alfred_on_Longfellow_Place-Boston_Massachusetts.html
112,https://www.tripadvisor.com/Hotel_Review-g60745-d14994379-Reviews-Stay_Alfred_on_Garrison_Street-Boston_Massachusetts.html
113,https://www.tripadvisor.com/Hotel_Review-g60745-d15750391-Reviews-Stay_Alfred_on_A_Street-Boston_Massachusetts.html
114,https://www.tripadvisor.com/Hotel_Review-g60745-d15689043-Reviews-Stay_Alfred_on_Washington_Street-Boston_Massachusetts.html
115,https://www.tripadvisor.com/Hotel_Review-g60745-d268206-Reviews-The_Boston_Common_Hotel_and_Conference_Center-Boston_Massachusetts.html
116,https://www.tripadvisor.com/Hotel_Review-g60745-d15641238-Reviews-Global_Luxury_Suites_at_Emerson_Place-Boston_Massachusetts.html
117,https://www.tripadvisor.com/Hotel_Review-g60745-d19007532-Reviews-Modern_Back_Bay_Apartments_by_Barsala-Boston_Massachusetts.html
118,https://www.tripadvisor.com/Hotel_Review-g60745-d15649221-Reviews-Global_Luxury_Suites_at_West_End-Boston_Massachusetts.html
119,https://www.tripadvisor.com/Hotel_Review-g60745-d15641204-Reviews-Global_Luxury_Suites_at_Seaport-Boston_Massachusetts.html
120,https://www.tripadvisor.com/Hotel_Review-g60745-d16748526-Reviews-Boston_Homestel-Boston_Massachusetts.html
121,https://www.tripadvisor.com/Hotel_Review-g60745-d12104852-Reviews-Global_Luxury_Suites_Fenway-Boston_Massachusetts.html
122,https://www.tripadvisor.com/Hotel_Review-g60745-d6484375-Reviews-Furnished_Quarters_Church_Park-Boston_Massachusetts.html
123,https://www.tripadvisor.com/Hotel_Review-g60745-d15553242-Reviews-Global_Luxury_Suites_At_Longwood-Boston_Massachusetts.html
124,https://www.tripadvisor.com/Hotel_Review-g60745-d13094295-Reviews-Temple_Place_Suites-Boston_Massachusetts.html
125,https://www.tripadvisor.com/Hotel_Review-g60745-d1157193-Reviews-Oakwood_At_The_Devonshire-Boston_Massachusetts.html
126,https://www.tripadvisor.com/Hotel_Review-g60745-d126058-Reviews-Constitution_Inn-Boston_Massachusetts.html
127,https://www.tripadvisor.com/Hotel_Review-g60745-d7356280-Reviews-Churchill_At_The_Radian-Boston_Massachusetts.html
129,https://www.tripadvisor.com/Hotel_Review-g60745-d21314660-Reviews-West_Broadway_Quarters_By_Thatch-Boston_Massachusetts.html
130,https://www.tripadvisor.com/Hotel_Review-g60745-d19742171-Reviews-Trenton_Street_Homestay-Boston_Massachusetts.html
131,https://www.tripadvisor.com/Hotel_Review-g60745-d21149839-Reviews-Evonify_Corporate_Convention_Center-Boston_Massachusetts.html
132,https://www.tripadvisor.com/Hotel_Review-g60745-d15641200-Reviews-Global_Luxury_Suites_at_Mass_General_Hospital-Boston_Massachusetts.html
133,https://www.tripadvisor.com/Hotel_Review-g60745-d15647517-Reviews-Global_Luxury_Suites_at_the_Commonwealth-Boston_Massachusetts.html
135,https://www.tripadvisor.com/Hotel_Review-g60745-d21186838-Reviews-ARTlab_Living_Downtown_Crossing-Boston_Massachusetts.html
136,https://www.tripadvisor.com/Hotel_Review-g60745-d15685450-Reviews-Bluebird_Suites_At_Garrison_Square-Boston_Massachusetts.html
137,https://www.tripadvisor.com/Hotel_Review-g60745-d15631744-Reviews-Bluebird_On_Canal_Street-Boston_Massachusetts.html
138,https://www.tripadvisor.com/Hotel_Review-g60745-d15631668-Reviews-Bluebird_Suites_on_L_Street-Boston_Massachusetts.html
139,https://www.tripadvisor.com/Hotel_Review-g60745-d20373961-Reviews-Bella_Casa-Boston_Massachusetts.html
140,https://www.tripadvisor.com/Hotel_Review-g60745-d21182055-Reviews-Harmony_Medical_Suites_ChinaTown-Boston_Massachusetts.html
141,https://www.tripadvisor.com/Hotel_Review-g60745-d21393311-Reviews-Temple_Place_Suites_2_3-Boston_Massachusetts.html
142,https://www.tripadvisor.com/Hotel_Review-g60745-d220216-Reviews-Beacon_Hill_Hotel_and_Bistro-Boston_Massachusetts.html
144,https://www.tripadvisor.com/Hotel_Review-g60745-d1206836-Reviews-Abigayle_s_Bed_and_Breakfast-Boston_Massachusetts.html
145,https://www.tripadvisor.com/Hotel_Review-g60745-d1577042-Reviews-Montgomery_Place-Boston_Massachusetts.html
146,https://www.tripadvisor.com/Hotel_Review-g60745-d621896-Reviews-Nolan_House_B_B-Boston_Massachusetts.html
147,https://www.tripadvisor.com/Hotel_Review-g60745-d1577043-Reviews-The_1863_House_Bed_and_Breakfast-Boston_Massachusetts.html
148,https://www.tripadvisor.com/Hotel_Review-g60745-d114149-Reviews-The_Langham_Boston-Boston_Massachusetts.html
