,Unnamed: 0,Unnamed: 0.1,URL,address,signal
34,34,34,https://www.tripadvisor.com/Restaurant_Review-g60745-d1841748-Reviews-Menton-Boston_Massachusetts.html,"354 Congress St, Boston, MA 02210-1295",finish
35,35,35,https://www.tripadvisor.com/Restaurant_Review-g60745-d321915-Reviews-OAK_Long_Bar_Kitchen-Boston_Massachusetts.html,"138 Saint James Ave, Boston, MA 02116-5002",finish
36,36,36,https://www.tripadvisor.com/Restaurant_Review-g60745-d8534897-Reviews-Ocean_Prime-Boston_Massachusetts.html,"140 Seaport Blvd, Boston, MA 02210-2045",finish
37,37,38,https://www.tripadvisor.com/Restaurant_Review-g60745-d321924-Reviews-Parish_Cafe-Boston_Massachusetts.html,"361 Boylston St, Boston, MA 02116-3303",finish
38,38,39,https://www.tripadvisor.com/Restaurant_Review-g60745-d605873-Reviews-Toro_Boston-Boston_Massachusetts.html,"1704 Washington St, Boston, MA 02118-3307",finish
39,39,40,https://www.tripadvisor.com/Restaurant_Review-g60745-d1007606-Reviews-La_Voile-Boston_Massachusetts.html,"261 Newbury St, Boston, MA 02116-2402",finish
40,40,41,https://www.tripadvisor.com/Restaurant_Review-g60745-d321943-Reviews-Abe_Louie_s-Boston_Massachusetts.html,"793 Boylston Street, Boston, MA 02116",finish
41,41,42,https://www.tripadvisor.com/Restaurant_Review-g60745-d321931-Reviews-Grill_23_Bar-Boston_Massachusetts.html,"161 Berkeley St, Boston, MA 02116-5108",finish
42,42,43,https://www.tripadvisor.com/Restaurant_Review-g60745-d480040-Reviews-The_Warren_Tavern-Boston_Massachusetts.html,"2 Pleasant St, Boston, MA 02129-3602",finish
43,43,44,https://www.tripadvisor.com/Restaurant_Review-g60745-d9453693-Reviews-Yvonne_s-Boston_Massachusetts.html,"2 Winter Pl, Boston, MA 02108-4733",finish
44,44,45,https://www.tripadvisor.com/Restaurant_Review-g60745-d322992-Reviews-Dino_s_Cafe-Boston_Massachusetts.html,"141 Salem St, Boston, MA 02113-1728",finish
45,45,46,https://www.tripadvisor.com/Restaurant_Review-g60745-d3297051-Reviews-Boston_Burger_Company-Boston_Massachusetts.html,"1100 Boylston St, Boston, MA 02215-3601",finish
46,46,47,https://www.tripadvisor.com/Restaurant_Review-g60745-d323002-Reviews-The_Daily_Catch_North_End-Boston_Massachusetts.html,"323 Hanover St, Boston, MA 02113-1820",finish
47,47,48,https://www.tripadvisor.com/Restaurant_Review-g60745-d321927-Reviews-Taranta-Boston_Massachusetts.html,"210 Hanover St, Boston, MA 02113-2302",finish
48,48,49,https://www.tripadvisor.com/Restaurant_Review-g60745-d1017794-Reviews-Myers_Chang-Boston_Massachusetts.html,"1145 Washington St, Boston, MA 02118-2728",finish
49,49,50,https://www.tripadvisor.com/Restaurant_Review-g60745-d1600893-Reviews-Coppa-Boston_Massachusetts.html,"253 Shawmut Ave, Boston, MA 02118-2178",finish
50,50,51,https://www.tripadvisor.com/Restaurant_Review-g60745-d321916-Reviews-75_Chestnut-Boston_Massachusetts.html,"75 Chestnut St Ste 1, Boston, MA 02108-1137",finish
51,51,52,https://www.tripadvisor.com/Restaurant_Review-g60745-d7270210-Reviews-Barcelona_Wine_Bar-Boston_Massachusetts.html,"525 Tremont St, Boston, MA 02116-6306",finish
52,52,53,https://www.tripadvisor.com/Restaurant_Review-g60745-d321934-Reviews-Teatro_Restaurant-Boston_Massachusetts.html,"177 Tremont St, Boston, MA 02111-1020",finish
53,53,54,https://www.tripadvisor.com/Restaurant_Review-g60745-d321987-Reviews-B_G_Oysters-Boston_Massachusetts.html,"550 Tremont St, Boston, MA 02116-6314",finish
54,54,55,https://www.tripadvisor.com/Restaurant_Review-g60745-d323083-Reviews-Carlo_s_Cucina_Italiana-Boston_Massachusetts.html,"131 Brighton Ave Allston, Boston, MA 02134-2802",finish
55,55,57,https://www.tripadvisor.com/Restaurant_Review-g60745-d322103-Reviews-Emmets_Irish_Pub_Restaurant-Boston_Massachusetts.html,"6 Beacon St, Boston, MA 02108-3808",finish
